MofName,GasName,model_used,qs_b,qs_d,b0_b,b0_d,deltaU_b,deltaU_d,R2_global,R2_single,penalty_triggered,q_prior,R2_273,R2_298,R2_323,R2_arrhenius_b,R2_arrhenius_d,qs_cv_b,qs_cv_d
ARC-DB0-m18_o16_o109_f0_fsc_repeat,N2,single_site,8.413508716622879,0.0,8.310196206962193e-05,8.310196206962194e-15,-17999.99837879342,0.0,0.9998477787881268,0.9998477787881268,False,,0.9997888854628544,0.999959312618428,0.9997862810063192,0.9971291644180206,0.9970228282394068,0.9657613630132508,0.2532721362033598
ARC-DB0-m18_o16_o109_f0_fsc_repeat,methane,single_site,8.875732506144594,0.0,2.55278443437294e-05,2.5527844343729404e-15,-24999.998122434103,0.0,0.9986221012526888,0.9986221012526888,False,,0.9982716129383058,0.9992452861418284,0.9980145438037136,0.9997758767974132,0.999774387759202,0.0224172845550878,0.0206856528813142
ARC-DB0-m3_o10_o146_f0_fsc_repeat,N2,single_site,7.815243117048928,0.0,6.171596141397923e-05,6.1715961413979225e-15,-19999.997747117435,0.0,0.999795086573094,0.999795086573094,False,,0.999784128699355,0.9999576687091511,0.9994819680114104,0.99874145150161,0.5835084999068259,0.0129434175186937,0.7177481905746472
ARC-DB0-m3_o10_o146_f0_fsc_repeat,methane,single_site,8.570981951166733,0.0,3.823717439196813e-05,3.8237174391968136e-15,-24999.998297254788,0.0,0.9992991173358832,0.9992991173358832,False,,0.998982510465381,0.9997543590157868,0.9990218895747344,0.999564785526492,0.7130266404659942,1.2219312456230127,0.82760553339557
ARC-DB0-m3_o1480_o156_f0_fsc.sym.14_repeat,N2,single_site,9.251382682388176,0.0,0.0001005208416569,1.0052084165690465e-14,-17999.99836173903,0.0,0.9995694381418978,0.9995694381418978,False,,0.9995162235820264,0.999914425626596,0.9990112538484032,0.8166683050877122,0.9969690179617544,1.1696820637122842,0.0467902440963465
ARC-DB0-m3_o1480_o156_f0_fsc.sym.14_repeat,methane,single_site,10.080994020647804,0.0,0.0001964637565813,1.9646375658136423e-14,-19999.99836921562,0.0,0.998226127070892,0.998226127070892,False,,0.9977151713938806,0.9993033970549552,0.9972140236799322,0.648313874563845,0.6484559802958038,0.1849850504331206,0.6213031001929156
ARC-DB0-m3_o1490_o15_f0_fsc.sym.16_repeat,N2,dual_site,2.337014293214563,1.030094960129709,6.354591795321302e-05,6.354591795321302e-05,-24999.82376637605,-17999.990755925937,0.9995879244029208,0.9969754644104132,False,8.0,0.9994673864541416,0.999923324368909,0.9992451385956234,0.9732614120244932,0.4418622083490258,0.0357865311140107,0.1954678780465406
ARC-DB0-m3_o1490_o15_f0_fsc.sym.16_repeat,methane,dual_site,2.5942863615374896,0.7052611082480763,7.263935887450297e-05,5.910342281191256e-05,-29999.985712760605,-19999.998789487683,0.9994068572924132,0.9901187385951998,False,8.0,0.998759591755451,0.999921497693128,0.9992019637169328,0.9997419048106928,0.7837746702387207,0.0316274474528593,0.0187301174122827
ARC-DB0-m3_o1490_o15_f0_fsc.sym.17_repeat,N2,dual_site,2.907764037349079,1.322112087499576,5.7695566175729207e-05,5.7695566175729207e-05,-25000.009867751032,-17999.997699033698,0.999659793244878,0.9971861134484732,False,8.0,0.9995363768188176,0.9999266857588026,0.999422333298317,0.9369732462347606,0.6145003902306679,0.142934851299145,0.1067618546692978
ARC-DB0-m3_o1490_o15_f0_fsc.sym.17_repeat,methane,dual_site,3.2399745610306443,0.89845943944084,0.0001417172738342,2.851195281131017e-05,-27999.99658336801,-21999.99024419498,0.9996226396500184,0.9909668301192388,False,8.0,0.9993672543158432,0.999873376679629,0.9994660223613236,0.9999504414389584,0.9457457215124094,0.0248197475154636,0.0381626175730025
ARC-DB0-m3_o14_o80_f0_fsc_repeat,N2,single_site,4.697627965229496,0.0,0.0001623794522795,1.6237945227950017e-14,-19999.99813870142,0.0,0.999075548080548,0.999075548080548,False,,0.9989421880250018,0.999602400368449,0.998344984545422,0.9998890580196634,0.960604069661394,0.035228843253797,0.0179439740047657
ARC-DB0-m3_o14_o80_f0_fsc_repeat,methane,dual_site,4.505667792663599,1.0566808344225889,5.626100154310105e-05,9.667712504674666e-06,-27999.99579769733,-22000.000627287885,0.9996090495003211,0.997108949574279,False,9.179991,0.9993421543061763,0.9998790011158344,0.9994815422550244,0.7911696008927824,0.2023812226099092,0.7698736950935445,0.576145547760194
ARC-DB0-m3_o16_o460_f0_fsc.sym.20_repeat,N2,single_site,4.2613523089928265,0.0,0.0001492984681475,1.4929846814759693e-14,-19999.998088853143,0.0,0.9990581176555072,0.9990581176555072,False,,0.9989304999224896,0.9996166382571406,0.9982404805507435,0.9374633800775004,0.9832070014499096,0.1781584107543467,0.6341500566840634
ARC-DB0-m3_o16_o460_f0_fsc.sym.20_repeat,methane,single_site,4.302289614601067,0.0,4.8348007368175296e-05,4.8348007368175295e-15,-27999.998792588416,0.0,0.9986355401969756,0.9986355401969756,False,,0.9970948451972214,0.999340056013416,0.9990120550614467,0.9998001518392934,0.998556606057836,0.0167914767672368,0.1381486383240573
ARC-DB0-m3_o18_o80_f0_fsc_repeat,N2,single_site,8.38362811179696,0.0,8.452492816995412e-05,8.452492816995412e-15,-17999.998297824826,0.0,0.9996271616838656,0.9996271616838656,False,,0.9995778295045477,0.9998605283991696,0.9992512207541264,0.9997839947704956,0.999772914095042,0.180237896762276,0.971574642062674
ARC-DB0-m3_o18_o80_f0_fsc_repeat,methane,single_site,8.609056681776403,0.0,2.690117990548453e-05,2.6901179905484536e-15,-24999.99812370244,0.0,0.9980444757960196,0.9980444757960196,False,,0.997372683367968,0.9988997906921028,0.9975837264333114,0.9998019353172783,0.9998027359558948,0.0093754159705877,0.0204287340069262
ARC-DB0-m3_o25_o460_f0_fsc.sym.15_repeat,N2,single_site,6.547476638360724,0.0,5.7500422439626576e-05,5.750042243962658e-15,-19999.997719940264,0.0,0.9998254798191726,0.9998254798191726,False,,0.9998380289417867,0.99994466369371,0.9995238575971868,0.999342259826994,0.9993442351533728,0.8745503843258068,0.129497635053941
ARC-DB0-m3_o25_o460_f0_fsc.sym.15_repeat,methane,single_site,6.550114854350845,0.0,5.160187984115879e-05,5.160187984115879e-15,-24999.9984381713,0.0,0.998854373947031,0.998854373947031,False,,0.9981647091827026,0.998963598938779,0.999426002184914,0.7214473782679796,0.9999193536906142,1.402179161715103,0.0193443466227847
ARC-DB0-m3_o47_o15_f0_fsc.sym.8_repeat,N2,dual_site,3.0356490547992383,1.3712418352866405,6.806724540768951e-05,6.271688162657021e-05,-24999.93250859952,-17999.997840196156,0.9997032672191728,0.9967724855381612,False,8.0,0.9995879231446172,0.9999466151498644,0.9994913807757548,0.9998547073100308,0.9985735708354144,0.0183502532521469,0.0415982768234907
ARC-DB0-m3_o47_o15_f0_fsc.sym.8_repeat,methane,dual_site,3.4032370725002976,0.8764720683912884,8.346136729743451e-05,7.883233370154245e-05,-29999.997284208835,-20000.00041778946,0.9991316302835012,0.9895185168277127,False,8.0,0.9980588400881736,0.9996279038566328,0.9991008428439878,0.9999849859721712,0.9994411586682374,0.0261910929672679,0.0337849420101878
ARC-DB12-TAKTOR_clean_repeat,N2,single_site,8.225786441600858,0.0,6.47454398401506e-05,6.474543984015061e-15,-17999.998297622555,0.0,0.9994290344399952,0.9994290344399952,False,,0.9996214772830958,0.9995696585579996,0.998250145601216,0.1477379920419204,0.1272871910515185,1.1537819099509037,0.1033188415775529
ARC-DB12-TAKTOR_clean_repeat,methane,dual_site,9.248758612181025,0.4880090713588766,3.883244997149778e-05,1.1878936557052229e-11,-22831.72178321592,-10250.33061703333,0.9986132046306614,0.9977595573838854,False,14.5424538,0.9971958916005438,0.999564744732607,0.9999027451747649,0.999268588489718,0.999268588489718,0.9482978779954866,0.1786655301627501
CoRE-2009[Cd][nuc]3[ASR]1,N2,single_site,5.4796082137373245,0.0,4.22305374605198e-05,4.223053746051981e-15,-19999.99763356085,0.0,0.9998236162299048,0.9998236162299048,False,,0.9997829457983332,0.9998840015744112,0.99978195311909,0.913515237913232,0.834320957846269,1.059179892260411,0.605276707872098
CoRE-2009[Cd][nuc]3[ASR]1,methane,single_site,5.774200194072023,0.0,3.699799368036783e-05,3.699799368036783e-15,-24999.99832371092,0.0,0.9992002566460152,0.9992002566460152,False,,0.998674637532306,0.9997044330254854,0.999150553032575,0.999907266532223,0.7374432570746094,0.0065928879514779,1.2041778097129183
CoRE-2010[Co][pts]3[ASR]2,N2,single_site,4.932610140236691,0.0,8.13508666170551e-05,8.135086661705511e-15,-19999.99780702021,0.0,0.9989044442744284,0.9989044442744284,False,,0.9983966154867586,0.9996175359253614,0.998708433831004,0.7515304297762724,0.6049196750771759,0.4775278686316345,0.6107649382835022
CoRE-2010[Co][pts]3[ASR]2,methane,dual_site,3.5536002542387912,2.448935837656001,3.234970184498461e-05,3.234970184498461e-05,-27999.975240882108,-22000.001434318317,0.999050852992138,0.9961264792088464,False,9.975465,0.9985839007056904,0.999773146952768,0.9985722856770424,0.1139463370109642,0.4180678647930665,0.0874448018324417,0.0935079805462514
CoRE-2011[Ni][dia]3[ASR]1,N2,single_site,4.677460601990422,0.0,3.48513197014162e-05,3.48513197014162e-15,-24999.99829188732,0.0,0.9990179599961272,0.9990179599961272,False,,0.9986822108904544,0.9991590011474828,0.9991022493207086,0.9939184178487002,0.4130442815123899,0.1336551612295871,0.2073744776179424
CoRE-2011[Ni][dia]3[ASR]1,methane,dual_site,4.58927021715591,0.6758590224899437,3.2607112807645e-05,4.639834599191496e-06,-31199.406555320074,-27317.59801882236,0.9997156069369316,0.9967668004866672,False,9.2697174,0.9995148980795994,0.9997616691860932,0.999714058636862,0.9998306131379314,0.9776184614547916,0.0126240749779578,0.0701197054994008
CoRE-2013[Mg][dia]3[ASR]1,N2,single_site,9.35172998110408,0.0,5.789987187448452e-05,5.789987187448452e-15,-19999.997721072737,0.0,0.999682095373899,0.999682095373899,False,,0.9996647376446572,0.9999409335468912,0.9991814388161836,0.999860229104618,0.5657078439517103,0.1521215355889198,0.3456601790670179
CoRE-2013[Mg][dia]3[ASR]1,methane,single_site,10.183150863902604,0.0,3.0369903186262732e-05,3.0369903186262737e-15,-24999.99815109854,0.0,0.999057379298676,0.999057379298676,False,,0.9987182197909314,0.9998390422105228,0.9983239702008218,0.7091232243412622,0.0527186697887986,0.575588243486671,0.8210864798628339
CoRE-2020[Cu][pts]3[ASR]1,N2,single_site,5.213423775576432,0.0,4.855031151665121e-05,4.855031151665121e-15,-19999.99764443024,0.0,0.999782444000507,0.999782444000507,False,,0.9997964125480971,0.999879114660373,0.9994861226545102,0.187025247046255,0.996348799601817,0.0376878742191139,0.0376878742191139
CoRE-2020[Cu][pts]3[ASR]1,methane,single_site,5.162433945175476,0.0,4.827484356739059e-05,4.827484356739059e-15,-24999.998408182,0.0,0.999219246806835,0.999219246806835,False,,0.9987695204234592,0.9992166992362052,0.9996829556617124,0.7159701148424362,0.999868526473682,1.0147702165486887,1.218718079384937
CoRE-2021[Ni][dia]3[ASR]1,N2,single_site,3.714609786158669,0.0,0.0001466826768999,1.4668267689994074e-14,-19999.99808409247,0.0,0.9996422335140606,0.9996422335140606,False,,0.9995046160740884,0.9998806888102428,0.9994763169900774,0.9999570641343845,0.488030554297327,0.6407688520014748,0.4227150905385958
CoRE-2021[Ni][dia]3[ASR]1,methane,dual_site,3.5045928920552263,1.8663893165356344,5.079697534385631e-05,3.1119597632605027e-06,-27999.954976023204,-22000.02114474464,0.999414485661894,0.9953626719952928,False,8.0,0.9991051569440184,0.9996692710850558,0.9993107107035664,0.9998794068478846,0.6617793943803684,0.0039151891655677,1.0798242072854465
MOSAEC-QAJDEK_full_REPEAT,N2,single_site,5.416923741647263,0.0,0.0001481983645733,1.4819836457338192e-14,-19999.99812250846,0.0,0.9990221726251816,0.9990221726251816,False,,0.9987256909569004,0.9996065867709952,0.9984984785652274,0.8050800030516727,0.9218455996572774,0.5746735541868521,0.1311173434684739
MOSAEC-QAJDEK_full_REPEAT,methane,dual_site,5.008153822203398,1.1014898535462736,4.122232950688928e-05,2.223526535356552e-05,-27999.99261006985,-22000.001056308203,0.9997315777202688,0.9977951256427848,False,10.4923836,0.9996307351412992,0.999885398693325,0.999601430448384,0.9996388760807962,0.9869481376947205,0.0065239068258255,0.4774569804489477
MOSAEC-YOBPOW_full_REPEAT,N2,dual_site,6.726685567080775,0.4031234446449914,6.849347209410261e-06,2.0952312052813e-12,-22267.90056524459,-11887.418644996136,0.9993077406355614,0.9979518326916066,False,8.0,0.9992369213813066,0.999237576077344,0.999364083126334,0.999018929435234,0.0235056369925101,0.1114081685845992,0.111408168584599
MOSAEC-YOBPOW_full_REPEAT,methane,dual_site,5.687995553296968,1.071150497282156,7.962409568914922e-06,4.947562645992293e-10,-27999.997838606585,-21999.997245609095,0.9917754045097288,0.9917758990572276,False,9.09702,0.989942185915076,0.9917741709133696,0.992396621515979,0.9998742479473176,0.9998742479473176,0.0683273594911986,0.0539627221091965
